,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id,dependent_project_count,github_dependent_project_count
0,camel,camel-ai/camel,https://github.com/camel-ai/camel,https://github.com/camel-ai/camel,Apache-2.0,2023-03-17 21:41:54,2026-03-19 15:25:03,2026-03-19 08:22:49,2153.0,216.0,1824.0,118.0,2459.0,214.0,1223.0,16420.0,2026-02-12 08:45:33,0.2.89,540.0,60.0,100.0,CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org.,201.0,30,True,others,1.0,-3.0,,,
1,agentscope,modelscope/agentscope,https://github.com/agentscope-ai/agentscope,https://github.com/agentscope-ai/agentscope,Apache-2.0,2024-01-12 03:41:59,2026-03-18 06:38:45,2026-03-18 06:20:20,233.0,95.0,1625.0,102.0,780.0,98.0,449.0,18324.0,2026-03-13 08:27:32,1.0.17,48.0,1.0,32.0,"Build and run agents you can see, understand and trust.",46.0,27,True,others,1.0,,agentscope-ai/agentscope,81.0,81.0
2,brainflow,brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,,2018-07-15 12:42:26,2026-03-14 07:58:52,2026-03-14 07:58:52,1410.0,13.0,371.0,29.0,463.0,19.0,250.0,1626.0,2026-02-28 11:26:40,5.21.0,256765.0,3378.0,100.0,"BrainFlow is a library intended to obtain, parse and analyze EEG, EMG, ECG and other kinds of data from biosensors.",61.0,26,False,others,1.0,,,24.0,24.0
3,ChatDev,OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,Apache-2.0,2023-08-28 02:18:13,2026-03-19 00:52:00,2026-03-19 00:52:00,157.0,157.0,3882.0,349.0,270.0,33.0,276.0,31730.0,2026-01-22 06:19:16,2.1.0,238.0,7.0,11.0,ChatDev 2.0: Dev All through LLM-powered Multi-Agent Collaboration.,13.0,25,True,others,1.0,3.0,,,
4,tpot,EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40,2025-09-11 21:32:19,2025-09-11 21:30:34,551.0,,1540.0,273.0,447.0,297.0,647.0,10046.0,2025-07-03 21:13:56,1.1.0,,,32.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,10.0,25,True,others,1.0,,,3592.0,3592.0
5,deap,DEAP/deap,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39,2025-11-16 12:51:26,2025-11-16 12:51:26,2360.0,,1136.0,186.0,245.0,237.0,291.0,6352.0,,,,,,Distributed Evolutionary Algorithms in Python.,92.0,25,True,others,1.0,,,6976.0,6976.0
6,malmo,microsoft/malmo,https://github.com/microsoft/malmo,https://github.com/microsoft/malmo,MIT,2016-05-17 14:58:40,2025-09-03 13:10:21,2025-09-03 13:10:00,1772.0,,587.0,253.0,234.0,166.0,546.0,4253.0,2018-11-06 09:13:55,0.36.0,45765.0,387.0,21.0,Project Malmo is a platform for Artificial Intelligence experimentation and research built on top of Minecraft. We aim..,36.0,25,True,others,1.0,,,35.0,35.0
7,pymoo,anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,Apache-2.0,2017-09-19 21:52:39,2026-02-22 19:42:48,2026-02-22 19:42:48,1073.0,2.0,454.0,30.0,139.0,9.0,476.0,2814.0,2025-11-25 03:17:50,0.6.1.6,,,15.0,"NSGA2, NSGA3, R-NSGA3, MOEAD, Genetic Algorithms (GA), Differential Evolution (DE), CMAES, PSO.",74.0,24,True,others,1.0,-2.0,,2002.0,2002.0
8,gplearn,trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,BSD-3-Clause,2015-03-26 01:01:14,2026-01-10 21:16:42,2026-01-10 21:16:42,170.0,7.0,311.0,52.0,95.0,16.0,202.0,1819.0,2026-01-07 06:59:11,0.4.3,,,2.0,"Genetic Programming in Python, with a scikit-learn inspired API.",13.0,24,True,others,1.0,3.0,,736.0,736.0
9,concordia,google-deepmind/concordia,https://github.com/google-deepmind/concordia,https://github.com/google-deepmind/concordia,Apache-2.0,2023-11-21 13:34:11,2026-03-18 15:22:57,2026-03-18 15:22:10,1245.0,132.0,269.0,20.0,169.0,9.0,81.0,1276.0,2026-03-06 19:05:19,2.4.0,,,28.0,A library for generative social simulation.,41.0,24,True,others,1.0,,,16.0,16.0
