,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,updated_github_id,trending
0,camel,camel-ai/camel,https://github.com/camel-ai/camel,https://github.com/camel-ai/camel,Apache-2.0,2023-03-17 21:41:54,2026-06-02 09:47:09,2026-06-02 09:47:09,2220,85.0,1918.0,120.0,2538.0,217.0,1272.0,17115,2026-03-22 08:37:36,0.2.90,755.0,62.0,100.0,CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org.,445.0,445.0,216.0,33,True,others,1.0,,
1,agentscope,modelscope/agentscope,https://github.com/agentscope-ai/agentscope,https://github.com/agentscope-ai/agentscope,Apache-2.0,2024-01-12 03:41:59,2026-06-03 07:54:30,2026-06-03 07:54:29,303,85.0,2892.0,150.0,976.0,213.0,564.0,26145,2026-05-25 15:44:36,2.0.0,53.0,1.0,38.0,"Build and run agents you can see, understand and trust.",119.0,119.0,55.0,28,True,others,1.0,agentscope-ai/agentscope,
2,brainflow,brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,,2018-07-15 12:42:26,2026-05-31 18:16:58,2026-05-31 18:16:58,1454,45.0,382.0,30.0,500.0,19.0,253.0,1696,2026-05-22 22:24:01,5.22.2,265364.0,3446.0,100.0,"BrainFlow is a library intended to obtain, parse and analyze EEG, EMG, ECG and other kinds of data from biosensors.",24.0,24.0,64.0,27,False,others,1.0,,
3,deap,DEAP/deap,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39,2026-04-17 20:59:38,2026-04-17 20:59:38,2366,6.0,1141.0,187.0,246.0,236.0,294.0,6404,,,,,,Distributed Evolutionary Algorithms in Python.,7034.0,7034.0,93.0,26,True,others,1.0,,
4,ChatDev,OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,Apache-2.0,2023-08-28 02:18:13,2026-05-27 12:41:14,2026-05-27 12:41:13,199,83.0,4105.0,360.0,295.0,39.0,282.0,33312,2026-03-23 02:10:51,2.2.0,245.0,7.0,12.0,ChatDev 2.0: Dev All through LLM-powered Multi-Agent Collaboration.,,,18.0,25,True,others,1.0,,3.0
5,tpot,EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40,2025-09-11 21:32:19,2025-09-11 21:30:34,551,,1538.0,272.0,449.0,298.0,647.0,10050,2025-07-03 21:13:56,1.1.0,,,32.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,3604.0,3604.0,10.0,25,True,others,1.0,,
6,malmo,microsoft/malmo,https://github.com/microsoft/malmo,https://github.com/microsoft/malmo,MIT,2016-05-17 14:58:40,2025-09-03 13:10:21,2025-09-03 13:10:00,1772,,586.0,253.0,234.0,166.0,546.0,4260,2018-11-06 09:13:55,0.36.0,46005.0,380.0,21.0,Project Malmo is a platform for Artificial Intelligence experimentation and research built on top of Minecraft. We aim..,35.0,35.0,36.0,25,True,others,1.0,,
7,concordia,google-deepmind/concordia,https://github.com/google-deepmind/concordia,https://github.com/google-deepmind/concordia,Apache-2.0,2023-11-21 13:34:11,2026-06-02 02:56:46,2026-05-06 15:43:47,1272,30.0,306.0,22.0,177.0,11.0,83.0,1458,2026-03-06 19:05:19,2.4.0,,,28.0,A library for generative social simulation.,21.0,21.0,44.0,24,True,others,1.0,,
8,mindcraft,kolbytn/mindcraft,https://github.com/mindcraft-bots/mindcraft,https://github.com/mindcraft-bots/mindcraft,MIT,2023-08-16 06:39:59,2026-05-27 18:43:55,2026-05-03 23:11:10,1663,38.0,773.0,65.0,388.0,29.0,348.0,5310,2026-03-20 16:23:35,0.1.4,,,5.0,Minecraft AI with LLMs+Mineflayer.,,,70.0,23,True,others,1.0,mindcraft-bots/mindcraft,
9,pymoo,anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,Apache-2.0,2017-09-19 21:52:39,2026-02-22 19:42:48,2026-02-22 19:42:48,1073,,465.0,29.0,144.0,16.0,476.0,2883,2025-11-25 03:17:50,0.6.1.6,,,15.0,"NSGA2, NSGA3, R-NSGA3, MOEAD, Genetic Algorithms (GA), Differential Evolution (DE), CMAES, PSO.",2084.0,2084.0,74.0,23,True,others,1.0,,-3.0
