,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id
0,camel,camel-ai/camel,https://github.com/camel-ai/camel,https://github.com/camel-ai/camel,Apache-2.0,2023-03-17 21:41:54,2026-07-09 06:51:00,2026-07-09 06:50:59,2254,92.0,1979.0,121.0,2582.0,213.0,1294.0,17352,2026-03-22 08:37:36,0.2.90,779.0,59.0,100.0,CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org.,483.0,483.0,226.0,33,True,others,1.0,,
1,pymoo,anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,Apache-2.0,2017-09-19 21:52:39,2026-07-07 01:34:50,2026-07-07 01:34:48,1145,71.0,473.0,29.0,146.0,1.0,495.0,2910,2026-06-28 04:15:23,0.6.2,,,16.0,"NSGA2, NSGA3, R-NSGA3, MOEAD, Genetic Algorithms (GA), Differential Evolution (DE), CMAES, PSO.",2117.0,2117.0,78.0,29,True,others,1.0,3.0,
2,agentscope,modelscope/agentscope,https://github.com/agentscope-ai/agentscope,https://github.com/agentscope-ai/agentscope,Apache-2.0,2024-01-12 03:41:59,2026-07-09 05:56:43,2026-07-09 05:56:42,391,141.0,3146.0,156.0,1121.0,197.0,651.0,27681,2026-07-07 10:51:49,2.0.4,54.0,1.0,42.0,"Build and run agents you can see, understand and trust.",134.0,134.0,76.0,28,True,others,1.0,,agentscope-ai/agentscope
3,brainflow,brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,,2018-07-15 12:42:26,2026-05-31 18:16:58,2026-05-31 18:16:58,1454,44.0,385.0,29.0,500.0,19.0,255.0,1722,2026-05-22 22:24:01,5.22.2,268258.0,3439.0,100.0,"BrainFlow is a library intended to obtain, parse and analyze EEG, EMG, ECG and other kinds of data from biosensors.",24.0,24.0,64.0,27,False,others,1.0,,
4,mealpy,thieu1995/mealpy,https://github.com/thieu1995/mealpy,https://github.com/thieu1995/mealpy,MIT,2020-03-16 10:16:54,2026-07-09 18:37:02,2026-07-09 18:37:02,2004,44.0,268.0,16.0,67.0,40.0,170.0,1251,2025-08-16 23:49:54,3.0.3,,,58.0,A Collection Of The State-of-the-art Metaheuristic Algorithms In Python (Metaheuristic/Optimizer/Nature-..,202.0,202.0,36.0,26,True,others,1.0,,
5,tpot,EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40,2025-09-11 21:32:19,2025-09-11 21:30:34,551,,1537.0,272.0,450.0,298.0,647.0,10044,2025-07-03 21:13:56,1.1.0,,,32.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,3608.0,3608.0,10.0,25,True,others,1.0,,
6,deap,DEAP/deap,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39,2026-04-17 20:59:38,2026-04-17 20:59:38,2366,6.0,1141.0,187.0,246.0,236.0,294.0,6417,,,,,,Distributed Evolutionary Algorithms in Python.,7052.0,7052.0,93.0,25,True,others,1.0,,
7,malmo,microsoft/malmo,https://github.com/microsoft/malmo,https://github.com/microsoft/malmo,MIT,2016-05-17 14:58:40,2025-09-03 13:10:21,2025-09-03 13:10:00,1772,,587.0,253.0,234.0,166.0,546.0,4267,2018-11-06 09:13:55,0.36.0,46259.0,379.0,21.0,Project Malmo is a platform for Artificial Intelligence experimentation and research built on top of Minecraft. We aim..,35.0,35.0,36.0,25,True,others,1.0,,
8,concordia,google-deepmind/concordia,https://github.com/google-deepmind/concordia,https://github.com/google-deepmind/concordia,Apache-2.0,2023-11-21 13:34:11,2026-07-07 12:22:07,2026-07-07 12:21:30,1307,49.0,319.0,26.0,181.0,11.0,84.0,1549,2026-03-06 19:05:19,2.4.0,,,28.0,A library for generative social simulation.,21.0,21.0,45.0,25,True,others,1.0,,
9,ChatDev,OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,Apache-2.0,2023-08-28 02:18:13,2026-06-29 08:25:10,2026-06-29 08:25:10,201,17.0,4155.0,359.0,302.0,44.0,286.0,33691,2026-03-23 02:10:51,2.2.0,248.0,7.0,12.0,ChatDev 2.0: Dev All through LLM-powered Multi-Agent Collaboration.,,,19.0,24,True,others,1.0,,
10,evox,EMI-Group/evox,https://github.com/EMI-Group/evox,https://github.com/EMI-Group/evox,GPL-3.0,2022-07-27 03:11:41,2026-07-09 03:25:00,2026-07-07 11:42:51,2342,101.0,345.0,149.0,210.0,2.0,31.0,2506,2025-11-06 13:16:41,1.3.0,,,27.0,Distributed GPU-Accelerated Framework for Evolutionary Computation. Comprehensive Library of Evolutionary Algorithms &..,14.0,14.0,28.0,24,True,others,1.0,,
11,mindcraft,kolbytn/mindcraft,https://github.com/mindcraft-bots/mindcraft,https://github.com/mindcraft-bots/mindcraft,MIT,2023-08-16 06:39:59,2026-06-10 14:58:17,2026-06-09 05:21:33,1667,17.0,822.0,69.0,397.0,34.0,353.0,5474,2026-03-20 16:23:35,0.1.4,,,5.0,Minecraft AI with LLMs+Mineflayer.,,,71.0,23,True,others,1.0,,mindcraft-bots/mindcraft
12,Sklearn-genetic-opt,rodrigo-arenas/Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,MIT,2020-01-18 19:16:48,2026-07-09 03:02:49,2026-07-09 03:02:49,756,208.0,121.0,7.0,220.0,6.0,104.0,378,2026-07-07 13:52:52,0.13.3,,,23.0,Hyperparameter optimization and feature selection for scikit-learn using evolutionary algorithms. A modern alternative..,74.0,74.0,43.0,23,True,others,1.0,5.0,
13,scikit-opt,guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,MIT,2017-12-05 10:20:41,2026-03-25 09:12:13,2026-03-25 09:12:06,345,,1095.0,53.0,36.0,69.0,113.0,6598,2021-06-28 12:45:52,0.6.5,,,20.0,"Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune..",286.0,286.0,24.0,22,True,others,1.0,,
14,GeneticAlgorithmPython,ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,BSD-3-Clause,2018-12-11 11:19:33,2026-07-09 04:06:44,2026-07-09 04:01:02,699,96.0,492.0,26.0,133.0,101.0,77.0,2211,2026-06-05 22:38:41,3.7.0,1517.0,20.0,41.0,"Source code of PyGAD, a Python 3 library for building the genetic algorithm and training machine learning algorithms..",,,27.0,22,True,others,1.0,3.0,
