,name,github_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,category,projectrank_placing,trending
0,deap,DEAP/deap,{},7072.0,7072.0,93.0,,7,False,others,1.0,
1,camel,camel-ai/camel,{},506.0,506.0,231.0,,6,False,others,1.0,-27.0
2,pymoo,anyoptimization/pymoo,{},2150.0,2150.0,78.0,,6,False,others,1.0,-23.0
3,tpot,EpistasisLab/tpot,{},3612.0,3612.0,10.0,,5,False,others,1.0,
4,mealpy,thieu1995/mealpy,{},204.0,204.0,47.0,,5,False,others,1.0,
5,pyswarms,ljvmiranda921/pyswarms,{},617.0,617.0,45.0,,5,False,others,1.0,
6,pycma,CMA-ES/pycma,{},3180.0,3180.0,17.0,,5,False,others,1.0,
7,Platypus,Project-Platypus/Platypus,{},256.0,256.0,22.0,,5,False,others,1.0,
8,lion-pytorch,lucidrains/lion-pytorch,{},1218.0,1218.0,6.0,,5,False,others,1.0,
9,scikit-opt,guofei9987/scikit-opt,{},287.0,287.0,24.0,,5,False,others,1.0,
10,nengo,nengo/nengo,{},273.0,273.0,44.0,,5,False,others,1.0,
11,NiaPy,NiaOrg/NiaPy,{},114.0,114.0,39.0,,4,False,others,2.0,
12,evosax,RobertTLange/evosax,{},204.0,204.0,13.0,,4,False,others,2.0,
13,hivemind,learning-at-home/hivemind,{},135.0,135.0,34.0,,4,False,others,2.0,
14,minerl,minerllabs/minerl,{},166.0,166.0,48.0,,4,False,others,2.0,
15,pyribs,icaros-usc/pyribs,{},79.0,79.0,21.0,,4,False,others,2.0,
16,FEDOT,aimclub/FEDOT,{},65.0,65.0,41.0,,4,False,others,2.0,
17,Sklearn-genetic-opt,rodrigo-arenas/Sklearn-genetic-opt,{},74.0,74.0,48.0,,4,False,others,2.0,
18,jMetalPy,jMetal/jMetalPy,{},112.0,112.0,36.0,,4,False,others,2.0,
19,HEBO,huawei-noah/HEBO,{},179.0,179.0,28.0,,4,False,others,2.0,
20,crafter,danijar/crafter,{},268.0,268.0,4.0,,4,False,others,2.0,
21,sklearn-deap,rsteca/sklearn-deap,{},51.0,51.0,23.0,,4,False,others,2.0,
22,NIR,neuromorphs/NIR,{},117.0,117.0,22.0,,4,False,others,2.0,
23,gplearn,trevorstephens/gplearn,{},745.0,745.0,13.0,,4,False,others,2.0,
24,ck,mlcommons/ck,{},122.0,122.0,35.0,,4,False,others,2.0,
25,agentscope,modelscope/agentscope,{},140.0,140.0,90.0,,4,False,others,2.0,-24.0
26,malmo,microsoft/malmo,{},35.0,35.0,36.0,,3,False,others,2.0,
27,Gradient-Free-Optimizers,SimonBlanke/Gradient-Free-Optimizers,{},47.0,47.0,10.0,,3,False,others,2.0,
28,fast-cma-es,dietmarwo/fast-cma-es,{},86.0,86.0,6.0,,3,False,others,2.0,
29,evox,EMI-Group/evox,{},14.0,14.0,28.0,,3,False,others,2.0,
30,cellpylib,lantunes/cellpylib,{},89.0,89.0,3.0,,3,False,others,2.0,
31,eaopt,MaxHalford/eaopt,{},60.0,60.0,18.0,,3,False,others,2.0,
32,mindspore,mindspore-ai/mindspore,{},,,1626.0,,3,False,others,2.0,
33,brainflow,brainflow-dev/brainflow,{},25.0,25.0,64.0,,3,False,others,2.0,-24.0
34,sotopia,sotopia-lab/sotopia,{},13.0,13.0,21.0,,3,False,others,2.0,
35,concordia,google-deepmind/concordia,{},22.0,22.0,45.0,,3,False,others,2.0,
36,Craftax,MichaelTMatthews/Craftax,{},45.0,45.0,13.0,,3,False,others,2.0,
37,platonic-rep,minyoungg/platonic-rep,{},49.0,49.0,4.0,,3,False,others,2.0,
38,craftium,mikelma/craftium,{},,,1133.0,,3,False,others,2.0,
39,optunahub,optuna/optunahub,{},67.0,67.0,14.0,,3,False,others,2.0,
40,QDax,adaptive-intelligent-robotics/QDax,{},25.0,25.0,18.0,,2,False,others,2.0,
41,triangula,rh12503/triangula,{},11.0,11.0,3.0,,2,False,others,2.0,
42,evogym,EvolutionGym/evogym,{},15.0,15.0,3.0,,2,False,others,2.0,
43,theseus,facebookresearch/theseus,{},8.0,8.0,27.0,,2,False,others,2.0,
44,swarmlib,HaaLeo/swarmlib,{},24.0,24.0,7.0,,2,False,others,2.0,
45,OpenELM,CarperAI/OpenELM,{},15.0,15.0,9.0,,2,False,others,2.0,
46,propulate,Helmholtz-AI-Energy/propulate,{},4.0,4.0,26.0,,2,False,others,2.0,
47,design-bench,brandontrabucco/design-bench,{},25.0,25.0,5.0,,2,False,others,2.0,
48,dreamerv3,danijar/dreamerv3,{},10.0,10.0,11.0,,2,False,others,2.0,
49,arena,diambra/arena,{},18.0,18.0,5.0,,2,False,others,2.0,
50,evo,evo-design/evo,{},14.0,14.0,10.0,,2,False,others,2.0,
51,DeepSwarm,Pattio/DeepSwarm,{},6.0,6.0,,,1,False,others,3.0,
52,pagmo2,esa/pagmo2,{},,,63.0,,1,False,others,3.0,
53,GeneticAlgorithmPython,ahmedfgad/GeneticAlgorithmPython,{},,,27.0,,1,False,others,3.0,
54,vizier,google/vizier,{},,,28.0,,1,False,others,3.0,
55,easea,EASEA/easea,{},,,38.0,,1,False,others,3.0,
56,gomea,CWI-EvolutionaryIntelligence/gomea,{},3.0,3.0,5.0,,1,False,others,3.0,
57,NSGA-II,baopng/NSGA-II,{},6.0,6.0,4.0,,1,False,others,3.0,
58,ann-benchmarks,erikbern/ann-benchmarks,{},,,112.0,,1,False,others,3.0,
59,loss-of-plasticity,shibhansh/loss-of-plasticity,{},5.0,5.0,6.0,,1,False,others,3.0,
60,FireflyAlgorithm,firefly-cpp/FireflyAlgorithm,{},4.0,4.0,6.0,,1,False,others,3.0,
61,awesome-open-ended,jennyzzt/awesome-open-ended,{},,,22.0,,1,False,others,3.0,
62,Gentopia,Gentopia-AI/Gentopia,{},4.0,4.0,7.0,,1,False,others,3.0,
63,evoxbench,EMI-Group/evoxbench,{},9.0,9.0,7.0,,1,False,others,3.0,
64,ngc-learn,NACLab/ngc-learn,{},8.0,8.0,15.0,,1,False,others,3.0,
65,quality-diversity.github.io,quality-diversity/quality-diversity.github.io,{},,,31.0,,1,False,others,3.0,
66,SwarmRL,SwarmRL/SwarmRL,{},,,28.0,,1,False,others,3.0,
67,hypersweeper,automl/hypersweeper,{},4.0,4.0,4.0,,1,False,others,3.0,
