,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,category,projectrank_placing,release_count,dependent_project_count,github_dependent_project_count,trending
0,brain-tokyo-workshop,google/brain-tokyo-workshop,https://github.com/google/brain-tokyo-workshop,https://github.com/google/brain-tokyo-workshop,Apache-2.0,2019-07-10 06:47:40,2024-07-09 17:49:39,2022-06-22 21:53:53,101.0,326.0,1.0,94.0,14.0,13.0,1285.0,,12.0,11,False,others,1.0,,,,
1,evojax,google/evojax,https://github.com/google/evojax,https://github.com/google/evojax,Apache-2.0,2021-12-07 00:30:07,2024-06-27 07:32:19,2024-06-27 07:26:43,298.0,109.0,1.0,52.0,15.0,17.0,951.0,,14.0,10,False,others,1.0,19.0,,,
2,automated-interpretability,openai/automated-interpretability,https://github.com/openai/automated-interpretability,https://github.com/openai/automated-interpretability,,2023-05-08 21:24:11,2024-03-06 18:40:46,2024-03-06 18:40:46,27.0,120.0,18.0,19.0,9.0,11.0,1081.0,,9.0,7,False,others,1.0,,,,
3,deap,DEAP/deap,,{},,,,,,,,,,,,,93.0,7,False,others,1.0,,7103.0,7103.0,
4,camel,camel-ai/camel,,{},,,,,,,,,,,,,238.0,6,False,others,1.0,,531.0,531.0,-27.0
5,pymoo,anyoptimization/pymoo,,{},,,,,,,,,,,,,78.0,6,False,others,1.0,,2180.0,2180.0,
6,tpot,EpistasisLab/tpot,,{},,,,,,,,,,,,,10.0,5,False,others,1.0,,3616.0,3616.0,
7,mealpy,thieu1995/mealpy,,{},,,,,,,,,,,,,47.0,5,False,others,1.0,,206.0,206.0,
8,pyswarms,ljvmiranda921/pyswarms,,{},,,,,,,,,,,,,45.0,5,False,others,1.0,,620.0,620.0,
9,pycma,CMA-ES/pycma,,{},,,,,,,,,,,,,18.0,5,False,others,1.0,,3214.0,3214.0,
10,Platypus,Project-Platypus/Platypus,,{},,,,,,,,,,,,,22.0,5,False,others,1.0,,257.0,257.0,
11,lion-pytorch,lucidrains/lion-pytorch,,{},,,,,,,,,,,,,6.0,5,False,others,1.0,,1224.0,1224.0,
12,scikit-opt,guofei9987/scikit-opt,,{},,,,,,,,,,,,,24.0,5,False,others,1.0,,291.0,291.0,
13,nengo,nengo/nengo,,{},,,,,,,,,,,,,44.0,5,False,others,1.0,,274.0,274.0,
14,NiaPy,NiaOrg/NiaPy,,{},,,,,,,,,,,,,39.0,4,False,others,2.0,,114.0,114.0,
